name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,,lgbt_12,year_lgbt_12,Count_universe_12,,lgbt,year_lgbt,Count_universe,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Jomo Kimane (Earth-616),9778,Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Nov-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenjiro Fujikawa (Earth-616),9779,No Dual Identity,,,White Hair,Male Characters,,Living Characters,2,May-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
LeMieu (Earth-616),9780,Secret Identity,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,2,May-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lo Chien (Earth-616),9781,Secret Identity,,,Bald,Male Characters,,Living Characters,2,Dec-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Hatter (Earth-616),9782,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Apr-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahapralaya (Earth-616),9783,Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,2,Apr-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marista (Earth-616),9784,Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,2,Nov-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oyakata (Earth-616),9785,Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Dec-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyre (Damocles Foundation) (Earth-616),9786,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Dec-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca Agee (Earth-616),9787,,,,,Female Characters,,Living Characters,2,Jul-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket-Launcher (Earth-616),9788,,Bad Characters,,,Male Characters,,Living Characters,2,Feb-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai (Earth-616),9789,Secret Identity,,,Red Hair,Female Characters,,Living Characters,2,Dec-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Krieger (Earth-616),9790,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Aug-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Hathaway (Earth-616),9791,,Good Characters,,,Male Characters,,Deceased Characters,2,Sep-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stem (Earth-616),9792,Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,2,Jan-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stranglehold (Damocles Foundation) (Earth-616),9793,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Dec-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatjana Stiles (Earth-616),9794,Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,2,May-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Marles (Earth-616),9795,Public Identity,,,Blond Hair,Male Characters,,Living Characters,2,Jul-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tia Senyaka (Earth-616),9796,Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,2,Jul-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vittorio Silvani (Earth-616),9797,No Dual Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Feb-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Willis Gottfried (Earth-616),9798,,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Jul-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Windy (Earth-616),9799,,Bad Characters,,,Male Characters,,Living Characters,2,Jul-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yvette Diamonde (Earth-616),9800,Secret Identity,Bad Characters,,Black Hair,Female Characters,Homosexual Characters,Living Characters,2,Jan-98,1998,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Astarte (Earth-616),9801,Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,2,Aug-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balthakk (Earth-616),9802,Secret Identity,Neutral Characters,No Eyes,No Hair,Undefined Characters,,Living Characters,2,Nov-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Yuan (Earth-616),9803,No Dual Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,May-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Callie Yeager (Earth-616),9804,Public Identity,,,Red Hair,Female Characters,,Living Characters,2,Mar-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceranda (Earth-616),9805,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,2,Mar-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina Carr (Earth-616),9806,Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,2,Sep-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ferrari (Earth-616),9807,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Aug-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonwing (Earth-616),9808,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Vess (Earth-616),9809,Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Dec-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Electryon (Earth-616),9810,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Aug-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fieldstone (Earth-616),9811,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn (Earth-616),9812,Secret Identity,Neutral Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,2,Nov-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fizgig (Earth-616),9813,Secret Identity,Bad Characters,,,Female Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoarfrost (Earth-616),9814,Secret Identity,Bad Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopsnake (Brute Force) (Earth-616),9815,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Brawn (Earth-616),9816,,Bad Characters,,White Hair,Male Characters,,Living Characters,2,Apr-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingot (Earth-616),9817,Secret Identity,Bad Characters,,,Female Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Integer (Earth-616),9818,Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,2,Apr-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Maiden (Gene Nation) (Earth-616),9819,Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,2,Apr-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet-Black (Rising Sons) (Earth-616),9820,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Rickman (Earth-616),9821,Public Identity,,Black Eyes,No Hair,Male Characters,,Deceased Characters,2,Sep-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy Lumley (Earth-616),9822,,,,,Female Characters,,Living Characters,2,Mar-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Krakkan (Earth-616),9823,Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,2,Nov-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Legault (Earth-616),9824,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Apr-99,1999,,,,,,,,,,,LGBT_DC,1997,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Loblolly (Earth-616),9825,Secret Identity,Bad Characters,,,Undefined Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Guthrie (Earth-616),9826,,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,Nov-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariah Ellenthorpe (Earth-616),9827,,Bad Characters,,,Female Characters,,Living Characters,2,Feb-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesmero (Skrull) (Earth-616),9828,,Bad Characters,,,Male Characters,,Living Characters,2,Jun-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrok (Earth-616),9829,No Dual Identity,,,,Male Characters,,Living Characters,2,Jan-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. St. Croix (Earth-616),9830,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,2,Dec-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Opsidian (Earth-616),9831,Secret Identity,Bad Characters,,,Undefined Characters,,Living Characters,2,Apr-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Otomo (Earth-616),9832,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,2,Dec-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Candler (Earth-616),9833,Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,2,Sep-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriot (Silvereye) (Earth-616),9834,Secret Identity,,Blue Eyes,Bald,Male Characters,,Living Characters,2,Dec-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulette Brazee (Earth-616),9835,Secret Identity,Good Characters,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,2,Jan-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall Jefferson (Earth-616),9836,Public Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,2,Jan-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph Conroy (Earth-616),9837,Public Identity,,,Bald,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reanimator (Earth-616),9838,Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Parady (Earth-616),9839,Public Identity,,,Grey Hair,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarum (Earth-616),9840,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowcaster (Earth-616),9841,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Nov-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign (Earth-616),9842,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tough Love (Earth-616),9843,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Jul-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Union (Dark Gods) (Earth-616),9844,,Bad Characters,Red Eyes,No Hair,Undefined Characters,,Living Characters,2,Jun-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampiro (Larcenous Three) (Earth-616),9845,Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,2,Sep-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Watchfire (Earth-616),9846,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Oct-99,1999,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aentaros (Earth-616),9847,,,,,Male Characters,,Living Characters,2,May-00,2000,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Green (Earth-616),9848,Secret Identity,Good Characters,,,Female Characters,,Deceased Characters,2,Dec-00,2000,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Orange (Earth-616),9849,Secret Identity,Good Characters,,,Female Characters,,Deceased Characters,2,Dec-00,2000,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Red (Earth-616),9850,Secret Identity,Good Characters,,,Male Characters,,Deceased Characters,2,Dec-00,2000,,,,,,,,,,,,1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alton Osborn, Sr. (Earth-616)",9851,,,,,Male Characters,,Deceased Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur DeLacourte (Earth-616),9852,Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,2,Feb-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldar (Galadorian) (Earth-616),9853,,,,Grey Hair,Male Characters,,Living Characters,2,Oct-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannerman Black (Earth-616),9854,Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannerman Blue (Earth-616),9855,Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannerman White (Earth-616),9856,Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanca del Hierro (Earth-616),9857,,,,Black Hair,Female Characters,,Living Characters,2,Dec-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Leighton (Earth-616),9858,,Neutral Characters,,,Male Characters,,Living Characters,2,Apr-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Potier (Earth-616),9859,Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,2,Oct-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster (Earth-616),9860,Secret Identity,,Red Eyes,No Hair,Male Characters,,Living Characters,2,Jan-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornelius Shaw (Earth-616),9861,Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Mar-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanide Jane (Earth-616),9862,Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Wolff (Earth-616),9863,,,Grey Eyes,Black Hair,Male Characters,,Living Characters,2,Jun-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
E.B. Farrell (Earth-616),9864,Secret Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma (Cyborg) (Earth-616),9865,,Neutral Characters,Black Eyes,Red Hair,Female Characters,,Deceased Characters,2,Jun-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Esau Shaw (Earth-616),9866,,,,,Male Characters,,Deceased Characters,2,Mar-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatiron (Russell) (Earth-616),9867,Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,2,Mar-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gareth Thomas (Earth-616),9868,Secret Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,2,Dec-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Simms (Earth-616),9869,Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Goth (Earth-616),9870,Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar (SHE) (Earth-616),9871,Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Dec-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Sleeman (Earth-616),9872,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jan-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikarys (Earth-616),9873,Public Identity,Neutral Characters,,Bald,Male Characters,,Living Characters,2,Jun-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Skulinowski (Earth-616),9874,Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Somers (Earth-616),9875,,,,Black Hair,Male Characters,,Deceased Characters,2,May-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction (Earth-616),9876,Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Deceased Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Katyusha (Anya) (Earth-616),9877,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,2,Aug-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Khafre (Earth-616),9878,,,,,Male Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Garrow (Earth-616),9879,,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mako (First Line) (Earth-616),9880,Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,2,Mar-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Deflandre (Earth-616),9881,Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,2,Dec-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mick Patterson (Earth-616),9882,Secret Identity,,,,Male Characters,,Living Characters,2,May-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Monmouth (Inner Guard) (Earth-616),9883,,,,No Hair,Undefined Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms Fortune (Earth-616),9884,Secret Identity,Bad Characters,,,Female Characters,,Living Characters,2,Apr-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Frank (Earth-616),9885,,,Blue Eyes,Black Hair,Male Characters,,Living Characters,2,Nov-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Baxter (Earth-616),9886,,,,Grey Hair,Male Characters,,Living Characters,2,Dec-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle (SHE) (Earth-616),9887,,Good Characters,,Black Hair,Female Characters,,Living Characters,2,Dec-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ransome Sole (Earth-616),9888,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,2,Aug-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapunzel (Earth-616),9889,Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Deceased Characters,2,May-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scythe (Lost Generation) (Earth-616),9890,,Bad Characters,,,Male Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabitha Gance (Earth-616),9891,Public Identity,Bad Characters,Red Eyes,Blond Hair,Female Characters,,Living Characters,2,Feb-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Talo (Galadorian) (Earth-616),9892,Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Oct-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tartarus (Neo) (Earth-616),9893,,Neutral Characters,,,Male Characters,,Deceased Characters,2,Jun-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Theoren Marceaux (Earth-616),9894,Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,May-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Donnely (Earth-616),9895,Secret Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,2,Feb-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Visalia (Earth-616),9896,Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,2,May-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace Worthington (Earth-616),9897,,Good Characters,,,Male Characters,,Deceased Characters,2,Feb-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanderer (Mutant) (Earth-616),9898,Secret Identity,,,Purple Hair,Female Characters,,Living Characters,2,Aug-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Watchtower (Earth-616),9899,Secret Identity,,,Bald,Male Characters,,Living Characters,2,Sep-00,2000,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Lange (Earth-616),9900,No Dual Identity,,,Blond Hair,Female Characters,,Living Characters,2,May-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan (Earth-616),9901,,Bad Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,2,Jul-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Jackson (Earth-616),9902,Secret Identity,,,,Male Characters,,Living Characters,2,Jun-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carla (Tunnel Dwellers) (Earth-616),9903,Secret Identity,Good Characters,,,Female Characters,,Living Characters,2,Aug-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Dynamo VII (Earth-616),9904,Secret Identity,Bad Characters,,,Undefined Characters,,Living Characters,2,Jun-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Ardilles (Earth-616),9905,,,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,2,Sep-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Trask III (Earth-616),9906,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,2,Jul-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Examiner (Earth-616),9907,,,,White Hair,Male Characters,,Living Characters,2,Nov-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiona Dunn (Earth-616),9908,Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,2,Oct-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Stavrou (Earth-616),9909,,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,2,Sep-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvester (Earth-616),9910,Secret Identity,Bad Characters,Variable Eyes,No Hair,Male Characters,,Living Characters,2,May-01,2001,,,,,,,,,,,,1998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
